[0527/141448.508:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.510:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.510:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.510:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.523:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.523:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.523:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.523:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.537:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.538:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.538:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.538:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.545:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.546:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.547:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.547:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-plugin-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.557:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-preset-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.557:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-preset-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.557:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-preset-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141448.557:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-preset-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141449.025:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-preset-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141449.025:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-preset-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141449.026:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-preset-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141449.026:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-preset-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141449.053:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-preset-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141449.053:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-preset-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
[0527/141449.053:WARNING:archive.cc(145)] Opening \\?\C:\Users\13994\MiniProjects\miniprogram-gallery\client\node_modules\babel-preset-C:\Program Files\小程序开发者工具\resources\app\vol_modules.asar: FILE_ERROR_FAILED
